,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040421,-0.01747459,-0.029379983,-0.017116541,-0.026891661,-0.019970651,-0.011160802,-0.026781788,-0.016009564,,-0.020504508,,-0.015128332,,-0.015293061
20040422,-0.023610556,,-0.020082751,-0.01425187,,-0.021878472,-0.0205259,-0.013666231,-0.022020384,-0.016148953,-0.031162724,-0.021950331,-0.016134446,-0.015808812
20040423,-0.016477861,-0.028114582,-0.026289352,-0.021445452,,-0.02038183,,-0.019878649,-0.024901783,,-0.018692202,,-0.017370512,
20040426,-0.013668458,-0.027922308,,,,-0.022770027,-0.011540045,,,,-0.01281539,,-0.034275664,-0.016409908
20040427,,-0.017784308,-0.027361103,-0.01022995,-0.016641911,-0.047234282,-0.021835418,,-0.017303148,-0.024586268,0.000746815,-0.004822108,-0.023333043,-0.016536854
20040428,-0.023619729,-0.017620955,-0.014999613,-0.017533644,-0.013500398,-0.020139433,-0.024856454,-0.049706613,,-0.026627939,,,,-0.016460109
20040429,,-0.028850645,-0.038255859,-0.012027347,-0.005989922,-0.014120314,-0.012240924,-0.02520087,,,,-0.018268579,-0.016755251,-0.018282043
20040430,-0.011301904,-0.000809791,0.009036682,-0.030565406,-0.028124111,-0.020365184,,,,,,,-0.006854371,-0.00850961
20040503,,-0.023446935,-0.017057539,,,-0.012212313,,,-0.012335444,,,-0.002374694,-0.02473659,-0.02139946
20040504,,-0.024896694,-0.018488673,,-0.010885998,-0.009316558,-0.004642291,,-0.001486127,-0.016330915,-0.013765311,-0.019631603,-0.010383116,
20040505,,-0.028662214,-0.034288062,-0.017769033,-0.021303532,,-0.004974522,-0.039378775,,-0.034526673,-0.028472493,-0.036199155,,-0.011551607
20040506,,-0.016884231,-0.012064598,-0.011970186,,-0.019770894,-0.001380458,-0.014977248,-0.017649329,,,,-0.037204175,-0.005235428
20040507,-0.037840279,-0.013615573,-0.017284512,,-0.029878955,,-0.018770381,,-0.017429694,-0.023568529,-0.007245039,,-0.007594511,-0.021032527
20040510,-0.04875728,-0.021151005,-0.015611895,-0.026507818,-0.007107611,-0.030093862,-0.025743461,-0.040777286,-0.002483375,-0.007675313,-0.003129433,-0.028204107,,-0.037313337
20040511,-0.015105272,-0.027943819,-0.011008911,-0.03082481,,,,-0.018930016,-0.014545483,-0.024804206,-0.020471443,,-0.011297152,-0.039632261
20040512,-0.023602426,-0.011784123,-0.003286331,,-0.008872678,0.006176781,,-0.011297204,-0.001962567,-0.000891036,-0.009432549,-0.024089748,-0.015297721,-0.021839779
20040513,-0.03347748,0.001643812,-0.027361824,,,-0.012585124,,-0.035817377,-0.012538942,,-0.017107348,-0.027940067,-0.031526004,-0.011004286
20040514,-0.006648587,0.043759584,-0.025612937,-0.02310327,,-0.013091346,-0.020502557,-0.021016263,-0.026007716,,-0.010615361,-0.010413197,0.007380845,-0.009439128
20040517,-0.070231408,-0.010373544,-0.013202166,-0.016334076,,-0.00997593,-0.011730648,-0.004832554,-0.003011368,-0.027565541,-0.021291846,-0.016165596,-0.006598167,-0.014319495
20040518,0.025364447,-0.012829592,-0.004688893,-0.012973832,-0.016096847,-0.018246495,-0.032898876,,,-0.00976001,-0.01895498,-0.012383082,-0.019664465,
20040519,0.146966465,-0.021106719,-0.014688635,-0.029713358,-0.010485291,-0.012191147,,-0.005080841,-0.007233674,-0.009240574,0.008476665,0.010272063,0.00152414,-0.009880538
20040520,,-0.016583477,-0.014272506,-0.009020447,-0.001617479,-0.010958113,-0.008542246,-0.022642014,-0.019972158,-0.011884355,-0.010175937,-0.014524255,-0.019037373,-0.003163387
20040521,,,,,,,,,,,,,,
20040524,,,-0.027341969,,,,,-0.01726543,,,,,,
20040525,-0.03721438,-0.033091199,-0.015727826,,,,,-0.024425425,-0.012198879,,-0.022940991,,,
20040526,-0.029427749,,,,,,,,,,,,-0.01577835,-0.026358933
20040527,-0.009754223,,-0.015583947,,,,,-0.02160174,,,,,,
20040528,,,,,,,,,,-0.042861746,,,,
20040601,,,,,,,-0.021142467,,,,,,,
20040602,-0.005447145,,,,,,-0.033084178,,,,-0.013082445,-0.142689491,,
20040603,-0.027362582,,-0.0160232,,,,,,,,-0.012626407,,,-0.013997413
20040604,0.018810509,-0.022415141,,,-0.024020835,,,,,-0.016203315,-0.023443808,-0.014258324,-0.012980144,-0.017813585
20040607,,-0.014496285,,,,,,-0.014061564,,,,-0.02371697,,-0.025433222
20040608,-0.022677453,,,,,,-0.014609017,,,,-0.019524729,-0.003782649,,-0.017300051
20040609,-0.018052388,,,-0.008918911,,-0.020928855,,,-0.010412454,,-0.01146956,,-0.010426071,-0.012235601
20040610,,-0.019456763,-0.025119622,-0.018613433,-0.023600298,-0.024394726,-0.02108213,-0.017642067,-0.012206485,-0.022807904,,-0.033251557,-0.050318147,-0.02443822
20040614,-0.023316804,-0.014783252,-0.011390456,-0.016429823,-0.013694505,-0.019229859,-0.014885569,-0.010381297,-0.017551808,,-0.00820214,-0.00544106,-0.013241843,-0.022707705
20040615,0.018105927,-0.018647018,-0.019731902,-0.012543282,-0.007648317,-0.025071703,-0.026993585,-0.029388655,,-0.007241813,-0.015248903,-0.012536901,-0.01019269,-0.013684494
20040616,-0.008855823,-0.023323147,-0.026600806,-0.010950178,-0.026160948,-0.014991767,,,-0.013824789,,-0.021550221,-0.023662772,-0.007211532,-0.007751398
20040617,,-0.000249362,-0.01064556,-0.009401435,-0.027696009,,-0.013282982,,,-0.028799272,-0.023958855,-0.015310448,-0.004391853,-0.035047186
20040618,,,-0.048625678,-0.035363523,-0.032076282,-0.021459115,,,-0.019118685,,,,-0.022796201,-0.02079626
20040621,-0.022873385,-0.020935712,-0.030423626,,-0.020097756,,-0.018630727,,-0.01673947,-0.024453342,,-0.03443673,-0.009330485,-0.031741912
20040622,,-0.02714605,-0.014963324,-0.009162096,-0.010438386,,-0.021241151,-0.022935417,-0.012650071,-0.028085074,,,-0.025234254,-0.02658819
20040623,,-0.021373095,,-0.021647079,-0.026849428,-0.027193846,,-0.046382813,-0.014612185,-0.0333208,-0.023862427,,-0.022177563,-0.016733444
20040624,,-0.020840274,-0.025078311,-0.04169601,-0.029527333,-0.034302742,-0.04956539,,,-0.021626634,-0.023377662,-0.015695599,-0.045353122,-0.029390892
20040625,,,-0.021821426,-0.018099478,,,,,,,,,-0.016711836,-0.024805916
20040628,-0.000299051,-0.014156142,-0.017179512,-0.018095573,-0.016882262,-0.022294274,-0.02615866,,,,,,,
